Treatment,Tree Type,Log ID #,# of Hatched Larvae,Date of Dissection,EAB Stage,Parasitized?,SG Brood ID,SG Count,# EMG SG,unemerged_larvae,unemerged_adults,Note
DE_Outdoor,GA,1,4,7/16/2020,L4,yes,1,5,0,3,2,
DE_Outdoor,GA,1,4,7/16/2020,L4,yes,2,3,3,0,0,
DE_Outdoor,GA,1,4,7/16/2020,L4,yes,3,5,5,1,0,
DE_Outdoor,GA,1,4,7/16/2020,L4,yes,4,8,6,0,2,
DE_Outdoor,GA,2,2,7/16/2020,L3,yes,1,2,0,2,0,
DE_Outdoor,GA,2,2,7/16/2020,L4,yes,2,8,5,0,3,
DE_Outdoor,GA,3,3,7/16/2020,L3,yes,1,4,4,0,0,
DE_Outdoor,GA,3,3,7/16/2020,L3,yes,2,5,0,0,5,
DE_Outdoor,GA,3,3,7/16/2020,L4,yes,3,10,0,10,0,
DE_Outdoor,GA,4,3,7/16/2020,L4,yes,1,15,5,0,10,
DE_Outdoor,GA,4,3,7/16/2020,L3,yes,2,7,3,2,2,
DE_Outdoor,GA,4,3,7/16/2020,L3,yes,3,5,0,5,0,
DE_Outdoor,GA,5,3,7/16/2020,L3,yes,1,6,0,6,0,
DE_Outdoor,GA,5,3,7/16/2020,L3,yes,2,4,0,4,0,
DE_Outdoor,GA,5,3,7/16/2020,L3,yes,3,3,0,3,0,
Morris_Air,GA,1,2,,,,1,7,0,7,0,
Morris_Air,GA,1,2,,,,2,4,0,4,0,
Morris_Air,GA,2,3,,,,1,7,0,7,0,
Morris_Air,GA,2,3,,,,2,3,0,3,0,
Morris_Air,GA,2,3,,,,3,2,0,2,0,
Morris_Air,GA,3,1,,,,1,1,0,1,0,
Morris_Air,GA,4,1,,,,1,4,0,4,0,
Morris_Air,GA,5,2,,,,1,8,0,7,1,
Morris_Air,GA,5,2,,,,2,4,0,4,0,
Morris_Air,GA,6,2,,,,1,8,0,8,0,
Morris_Air,GA,6,2,,,,2,1,0,1,0,
Morris_Snow,GA,1,3,,,,1,3,1,0,2,
Morris_Snow,GA,1,3,,,,2,3,0,0,3,
Morris_Snow,GA,1,3,,,,3,6,0,0,6,
Morris_Snow,GA,2,4,,,,1,7,0,0,7,
Morris_Snow,GA,2,4,,,,2,5,0,0,5,
Morris_Snow,GA,2,4,,,,3,3,0,0,3,
Morris_Snow,GA,2,4,,,,4,4,0,0,4,
Morris_Snow,GA,3,5,,,,1,4,2,0,2,
Morris_Snow,GA,3,5,,,,2,7,4,0,3,
Morris_Snow,GA,3,5,,,,3,7,3,0,4,
Morris_Snow,GA,3,5,,,,4,3,3,0,0,
Morris_Snow,GA,3,5,,,,5,10,4,0,6,
Morris_Snow,GA,4,7,,,,1,12,12,0,0,
Morris_Snow,GA,4,7,,,,2,13,13,0,0,
Morris_Snow,GA,4,7,,,,3,2,2,0,0,
Morris_Snow,GA,4,7,,,,4,7,7,0,0,
Morris_Snow,GA,4,7,,,,5,9,9,0,0,
Morris_Snow,GA,4,7,,,,6,4,4,0,0,
Morris_Snow,GA,4,7,,,,7,1,0,1,0,
Morris_Snow,GA,5,2,,,,1,4,0,0,4,
Morris_Snow,GA,5,2,,,,2,10,0,0,10,
Morris_Snow,GA,6,8,,,,1,12,11,0,1,
Morris_Snow,GA,6,8,,,,2,2,1,0,1,
Morris_Snow,GA,6,8,,,,3,11,11,0,0,
Morris_Snow,GA,6,8,,,,4,11,11,0,0,
Morris_Snow,GA,6,8,,,,5,3,0,0,3,
Morris_Snow,GA,6,8,,,,6,5,4,0,1,
Morris_Snow,GA,6,8,,,,7,10,8,0,2,
Morris_Snow,GA,6,8,,,,8,2,1,0,1,
Morris_Snow,GA,7,3,,,,1,7,1,0,6,
Morris_Snow,GA,7,3,,,,2,2,2,0,0,
Morris_Snow,GA,7,3,,,,3,10,10,0,0,
Shipping_Control,GA,1,5,,,,1,4,3,1,0,
Shipping_Control,GA,1,5,,,,2,17,14,0,3,
Shipping_Control,GA,1,5,,,,3,12,8,0,4,
Shipping_Control,GA,1,5,,,,4,4,2,0,2,
Shipping_Control,GA,1,5,,,,5,10,9,0,1,
Shipping_Control,GA,2,6,,,,1,15,13,0,2,
Shipping_Control,GA,2,6,,,,2,4,4,0,0,
Shipping_Control,GA,2,6,,,,3,17,16,0,1,
Shipping_Control,GA,2,6,,,,4,18,16,0,2,
Shipping_Control,GA,2,6,,,,5,12,10,0,2,
Shipping_Control,GA,2,6,,,,6,2,0,1,1,
Shipping_Control,GA,3,2,,,,1,9,6,0,3,
Shipping_Control,GA,3,2,,,,2,13,12,0,1,
Shipping_Control,GA,4,1,,,,1,15,0,0,15,
Shipping_Control,GA,5,1,,,,1,8,0,1,7,
Shipping_Control,GA,6,1,,,,1,17,14,1,2,
UMN_Air,GA,1,1,,,,1,5,5,0,0,
UMN_Air,GA,2,2,,,,1,6,4,2,0,
UMN_Air,GA,2,2,,,,2,11,3,1,7,
UMN_Air,GA,3,1,,,,1,6,0,0,6,
UMN_Air,GA,4,0,,,,NA,0,0,0,0,
UMN_Air,GA,5,1,,,,1,4,0,4,0,
UMN_Air,GA,6,0,,,,NA,0,0,0,0,
UMN_Air,GA,7,0,,,,NA,0,0,0,0,
UMN_Air,GA,8,2,,,,1,6,3,0,3,
UMN_Air,GA,8,2,,,,2,10,3,0,7,
UMN_Snow,GA,1,2,,,,1,7,0,7,0,
UMN_Snow,GA,1,2,,,,2,8,0,8,0,
UMN_Snow,GA,2,3,,,,1,6,0,0,6,
UMN_Snow,GA,2,3,,,,2,8,0,0,8,
UMN_Snow,GA,2,3,,,,3,2,0,2,0,
UMN_Snow,GA,3,2,,,,1,7,6,1,0,
UMN_Snow,GA,3,2,,,,2,2,0,2,0,
UMN_Snow,GA,4,1,,,,1,2,0,2,0,
UMN_Snow,GA,5,1,,,,1,3,0,3,0,
UMN_Snow,GA,6,1,,,,1,6,0,4,2,
UMN_Snow,GA,7,1,,,,1,10,0,10,0,
UMN_Snow,GA,8,2,,,,1,3,0,3,0,
UMN_Snow,GA,8,2,,,,2,2,0,2,0,
UMN_Snow,GA,9,3,,,,1,9,8,0,1,
UMN_Snow,GA,9,3,,,,2,6,6,0,0,
UMN_Snow,GA,9,3,,,,3,6,6,0,0,
Waseca_Air,GA,1,1,,,,1,5,0,5,0,
Waseca_Air,GA,2,1,,,,1,5,0,5,0,
Waseca_Air,GA,3,1,,,,1,1,0,1,0,
Waseca_Air,GA,4,1,,,,1,8,0,8,0,
Waseca_Air,GA,5,1,,,,1,1,0,1,0,
Waseca_Air,GA,6,1,,,,1,4,0,4,0,
Waseca_Air,GA,7,1,,,,1,3,0,3,0,
Waseca_Air,GA,8,1,,,,1,2,0,2,0,
Waseca_Air,GA,9,1,,,,1,12,0,12,0,
Waseca_Snow,GA,1,1,,,,1,6,2,1,3,
Waseca_Snow,GA,2,1,,,,1,4,0,4,0,
Waseca_Snow,GA,3,2,,,,1,7,4,3,0,
Waseca_Snow,GA,3,2,,,,2,3,3,0,0,
Waseca_Snow,GA,4,2,,,,1,1,0,1,0,
Waseca_Snow,GA,4,2,,,,1,2,0,2,0,
Waseca_Snow,GA,5,0,,,,NA,0,0,0,0,
Waseca_Snow,GA,6,0,,,,NA,0,0,0,0,
Waseca_Snow,GA,7,1,,,,1,5,0,0,5,
Waseca_Snow,GA,8,1,,,,1,4,0,1,3,
Waseca_Snow,GA,9,2,,,,1,3,1,0,2,
Waseca_Snow,GA,9,2,,,,2,8,7,0,1,
